"행정구역별",2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
"행정구역별",독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구)
"행정구역별",원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률)
"동구",12.9,0.6 (4.9),4829,161 (3.4),37308,-557 (-1.5),13.4,0.5 (3.9),4999,170 (3.5),37402,94 (0.3),13.8,0.4 (3.0),5137,138 (2.8),37194,-208 (-0.6),13.9,0.1 (0.7),5320,183 (3.6),38163,969 (2.6),14.3,0.4 (2.9),5694,374 (7.0),39776,1613 (4.2)
"영도구",11.7,0.8 (7.3),6069,335 (5.8),51910,-538 (-1.0),12.4,0.7 (6.0),6321,252 (4.2),50951,-959 (-1.8),13.3,0.9 (7.3),6696,375 (5.9),50356,-595 (-1.2),14.1,0.8 (6.0),7006,310 (4.6),49823,-533 (-1.1),14.7,0.6 (4.3),7479,473 (6.8),50842,1019 (2.0)
"부산진구",7.9,0.4 (5.3),12042,501 (4.3),151910,-1631 (-1.1),8.3,0.4 (5.1),12664,622 (5.2),153075,1165 (0.8),8.7,0.4 (4.8),13147,483 (3.8),151852,-1223 (-0.8),9.1,0.4 (4.6),13841,694 (5.3),152433,581 (0.4),9.5,0.4 (4.4),14945,1104 (8.0),157105,4672 (3.1)
"동래구",6.9,0.4 (6.2),6856,376 (5.8),99683,661 (0.7),7.3,0.4 (5.8),7314,458 (6.7),100540,857 (0.9),7.7,0.4 (5.5),7774,460 (6.3),100613,73 (0.1),8.1,0.4 (5.2),8400,626 (8.1),103176,2563 (2.5),8.8,0.7 (8.6),9283,883 (10.5),106013,2837 (2.7)
"남구",7.1,0.4 (6.0),7705,396 (5.4),108478,-867 (-0.8),7.6,0.5 (7.0),8233,528 (6.9),108016,-462 (-0.4),7.9,0.3 (3.9),8781,548 (6.7),111261,3245 (3.0),8.2,0.3 (3.8),9166,385 (4.4),111594,333 (0.3),8.9,0.7 (8.5),9880,714 (7.8),110605,-989 (-0.9)
"북구",7.2,0.3 (4.3),8210,563 (7.4),114093,2984 (2.7),7.8,0.6 (8.3),8860,650 (7.9),113476,-617 (-0.5),8.4,0.6 (7.7),9456,596 (6.7),112896,-580 (-0.5),9.1,0.7 (8.3),10211,755 (8.0),112242,-654 (-0.6),9.9,0.8 (8.8),11219,1008 (9.9),113121,879 (0.8)
"해운대구",6.9,0.4 (6.2),10712,780 (7.9),154367,1097 (0.7),7.4,0.5 (7.2),11408,696 (6.5),153815,-552 (-0.4),7.9,0.5 (6.8),12188,780 (6.8),154967,1152 (0.7),8.4,0.5 (6.3),13091,903 (7.4),156230,1263 (0.8),9.0,0.6 (7.1),14291,1200 (9.2),158613,2383 (1.5)
"사하구",7.0,0.5 (7.7),8940,721 (8.8),127097,-63 (-0.0),7.5,0.5 (7.1),9629,689 (7.7),128433,1336 (1.1),8.1,0.6 (8.0),10457,828 (8.6),129242,809 (0.6),8.9,0.8 (9.9),11382,925 (8.8),128548,-694 (-0.5),9.8,0.9 (10.1),12524,1142 (10.0),128354,-194 (-0.2)
"금정구",7.4,0.5 (7.2),7264,464 (6.8),98500,512 (0.5),7.8,0.4 (5.4),7803,539 (7.4),99425,925 (0.9),8.4,0.6 (7.7),8470,667 (8.5),101118,1693 (1.7),9.0,0.6 (7.1),9091,621 (7.3),101294,176 (0.2),9.6,0.6 (6.7),9819,728 (8.0),101802,508 (0.5)
"강서구",4.9,-0.6 (-10.9),1858,69 (3.9),37589,4792 (14.6),4.8,-0.1 (-2.0),2007,149 (8.0),41987,4398 (11.7),5.0,0.2 (4.2),2190,183 (9.1),44028,2041 (4.9),4.8,-0.2 (-4.0),2254,64 (2.9),47138,3110 (7.1),5.1,0.3 (6.3),2607,353 (15.7),51376,4238 (9.0)
"연제구",6.9,0.2 (3.0),5381,120 (2.3),78070,-24 (-0.0),7.3,0.4 (5.8),5762,381 (7.1),79475,1405 (1.8),7.8,0.5 (6.8),6252,490 (8.5),80104,629 (0.8),8.4,0.6 (7.7),7003,751 (12.0),83398,3294 (4.1),9.0,0.6 (7.1),7714,711 (10.2),85699,2301 (2.8)
"수영구",7.4,0.3 (4.2),5251,250 (5.0),70784,720 (1.0),7.7,0.3 (4.1),5582,331 (6.3),72186,1402 (2.0),8.2,0.5 (6.5),5973,391 (7.0),72556,370 (0.5),8.8,0.6 (7.3),6525,552 (9.2),74187,1631 (2.2),9.3,0.5 (5.7),7135,610 (9.3),76700,2513 (3.4)
"사상구",7.0,0.5 (7.7),6332,376 (6.3),90745,-966 (-1.1),7.5,0.5 (7.1),6850,518 (8.2),90925,180 (0.2),8.1,0.6 (8.0),7302,452 (6.6),90355,-570 (-0.6),8.8,0.7 (8.6),7939,637 (8.7),90171,-184 (-0.2),9.6,0.8 (9.1),8718,779 (9.8),90678,507 (0.6)
"기장군",6.6,0.3 (4.8),3769,369 (10.9),56777,2771 (5.1),7.1,0.5 (7.6),4154,385 (10.2),58788,2011 (3.5),7.4,0.3 (4.2),4531,377 (9.1),61108,2320 (3.9),7.9,0.5 (6.8),4939,408 (9.0),62178,1070 (1.8),8.0,0.1 (1.3),5325,386 (7.8),66584,4406 (7.1)
"대구광역시",6.7,0.5 (8.1),62394,4671 (8.1),935753,7225 (0.8),7.1,0.4 (6.0),67025,4631 (7.4),948030,12277 (1.3),7.5,0.4 (5.6),71359,4334 (6.5),957516,9486 (1.0),7.9,0.4 (5.3),76077,4718 (6.6),968620,11104 (1.2),8.5,0.6 (7.6),83459,7382 (9.7),985816,17196 (1.8)
"중구",9.6,0.4 (4.3),3199,135 (4.4),33349,-104 (-0.3),9.9,0.3 (3.1),3252,53 (1.7),32968,-381 (-1.1),9.6,-0.3 (-3.0),3260,8 (0.2),34109,1141 (3.5),9.5,-0.1 (-1.0),3263,3 (0.1),34207,98 (0.3),10.0,0.5 (5.3),3467,204 (6.3),34805,598 (1.7)
"동구",8.1,0.5 (6.6),10840,813 (8.1),133741,2343 (1.8),8.7,0.6 (7.4),11770,930 (8.6),135974,2233 (1.7),9.0,0.3 (3.4),12551,781 (6.6),138759,2785 (2.0),9.5,0.5 (5.6),13254,703 (5.6),139168,409 (0.3),10.3,0.8 (8.4),14661,1407 (10.6),141788,2620 (1.9)
"서구",8.8,0.7 (8.6),7030,480 (7.3),79496,-1504 (-1.9),9.5,0.7 (8.0),7446,416 (5.9),78170,-1326 (-1.7),10.1,0.6 (6.3),7712,266 (3.6),76111,-2059 (-2.6),11.0,0.9 (8.9),8129,417 (5.4),73980,-2131 (-2.8),11.9,0.9 (8.2),8822,693 (8.5),74097,117 (0.2)
"남구",9.6,0.7 (7.9),6547,348 (5.6),68498,-1001 (-1.4),10.1,0.5 (5.2),6907,360 (5.5),68227,-271 (-0.4),10.4,0.3 (3.0),7131,224 (3.2),68263,36 (0.1),10.9,0.5 (4.8),7459,328 (4.6),68268,5 (0.0),11.7,0.8 (7.3),8061,602 (8.1),69120,852 (1.2)
"북구",5.5,0.4 (7.8),9223,734 (8.6),167089,515 (0.3),5.9,0.4 (7.3),9919,696 (7.5),169117,2028 (1.2),6.3,0.4 (6.8),10692,773 (7.8),171041,1924 (1.1),6.6,0.3 (4.8),11602,910 (8.5),174696,3655 (2.1),7.1,0.5 (7.6),12761,1159 (10.0),179584,4888 (2.8)
"수성구",6.1,0.5 (8.9),9535,617 (6.9),157126,-777 (-0.5),6.4,0.3 (4.9),10079,544 (5.7),156945,-181 (-0.1),6.9,0.5 (7.8),10817,738 (7.3),156596,-349 (-0.2),7.3,0.4 (5.8),11524,707 (6.5),157906,1310 (0.8),7.9,0.6 (8.2),12586,1062 (9.2),160239,2333 (1.5)
"달서구",5.4,0.5 (10.2),12005,1100 (10.1),220750,-1492 (-0.7),6.0,0.6 (11.1),13135,1130 (9.4),219535,-1215 (-0.6),6.5,0.5 (8.3),14225,1090 (8.3),220531,996 (0.5),6.9,0.4 (6.2),15516,1291 (9.1),224644,4113 (1.9),7.5,0.6 (8.7),17121,1605 (10.3),226813,2169 (1.0)
"달성군",5.3,-0.1 (-1.9),4015,444 (12.4),75704,9245 (13.9),5.2,-0.1 (-1.9),4517,502 (12.5),87094,11390 (15.0),5.4,0.2 (3.8),4971,454 (10.1),92106,5012 (5.8),5.6,0.2 (3.7),5330,359 (7.2),95751,3645 (4.0),6.0,0.4 (7.1),5980,650 (12.2),99370,3619 (3.8)
"인천광역시",5.1,0.3 (6.3),54272,3622 (7.2),1062828,17411 (1.7),5.4,0.3 (5.9),58824,4552 (8.4),1080285,17457 (1.6),5.8,0.4 (7.4),63031,4207 (7.2),1094749,14464 (1.3),6.1,0.3 (5.2),68648,5617 (8.9),1120576,25827 (2.4),6.7,0.6 (9.8),76298,7650 (11.1),1147200,26624 (2.4)
"중구",6.4,0 (0.0),2810,53 (1.9),43924,648 (1.5),6.7,0.3 (4.7),3067,257 (9.1),45897,1973 (4.5),6.7,0 (0.0),3270,203 (6.6),48828,2931 (6.4),6.5,-0.2 (-3.0),3640,370 (11.3),55660,6832 (14.0),6.9,0.4 (6.2),4100,460 (12.6),59494,3834 (6.9)
"동구",9.4,0.5 (5.6),2487,100 (4.2),26576,-376 (-1.4),10.1,0.7 (7.4),2659,172 (6.9),26449,-127 (-0.5),10.5,0.4 (4.0),2715,56 (2.1),25737,-712 (-2.7),11.2,0.7 (6.7),2833,118 (4.3),25183,-554 (-2.2),12.1,0.9 (8.0),3041,208 (7.3),25234,51 (0.2)
"남구",5.9,0.2 (3.5),9557,602 (6.7),162564,5804 (3.7),6.2,0.3 (5.1),10393,836 (8.7),166978,4414 (2.7),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
